action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,72652,[],CHEMBL649398,Inhibition constant against [125I]-7 (TZDM) binding to Amyloid beta 1-40 aggregates,B,,,BAO_0000192,BAO_0000357,single protein format,CN(C)c1ccc(-c2cn3cc(Br)ccc3n2)cc1,,,CHEMBL1145100,J Med Chem,2003,"{'bei': '25.26', 'le': '0.57', 'lle': '4.16', 'sei': '38.89'}",CHEMBL81260,,CHEMBL81260,7.99,0,http://www.openphacts.org/units/Nanomolar,144089,=,1,1,=,,Ki,nM,,10.3,CHEMBL2487,Homo sapiens,Beta amyloid A4 protein,9606,,,Ki,nM,UO_0000065,,10.3
,,73705,[],CHEMBL649398,Inhibition constant against [125I]-7 (TZDM) binding to Amyloid beta 1-40 aggregates,B,,,BAO_0000192,BAO_0000357,single protein format,CN(C)c1ccc(-c2nc3ccc(I)cc3s2)cc1,,,CHEMBL1145100,J Med Chem,2003,"{'bei': '23.79', 'le': '0.65', 'lle': '4.42', 'sei': '56.08'}",CHEMBL55380,,CHEMBL55380,9.05,0,http://www.openphacts.org/units/Nanomolar,144085,=,1,1,=,,Ki,nM,,0.9,CHEMBL2487,Homo sapiens,Beta amyloid A4 protein,9606,,,Ki,nM,UO_0000065,,0.9
,,75935,[],CHEMBL649398,Inhibition constant against [125I]-7 (TZDM) binding to Amyloid beta 1-40 aggregates,B,,,BAO_0000192,BAO_0000357,single protein format,CNc1ccc(-c2cn3cc(C)ccc3n2)cc1,,,CHEMBL1145100,J Med Chem,2003,,CHEMBL78410,,CHEMBL78410,,0,http://www.openphacts.org/units/Nanomolar,144082,>,1,1,>,,Ki,nM,,2000.0,CHEMBL2487,Homo sapiens,Beta amyloid A4 protein,9606,,,Ki,nM,UO_0000065,,2000.0
,,79258,[],CHEMBL649398,Inhibition constant against [125I]-7 (TZDM) binding to Amyloid beta 1-40 aggregates,B,,,BAO_0000192,BAO_0000357,single protein format,CNc1ccc(-c2cn3ccccc3n2)cc1,,,CHEMBL1145100,J Med Chem,2003,,CHEMBL81685,,CHEMBL81685,,0,http://www.openphacts.org/units/Nanomolar,144080,>,1,1,>,,Ki,nM,,1000.0,CHEMBL2487,Homo sapiens,Beta amyloid A4 protein,9606,,,Ki,nM,UO_0000065,,1000.0
,,81617,[],CHEMBL649398,Inhibition constant against [125I]-7 (TZDM) binding to Amyloid beta 1-40 aggregates,B,,,BAO_0000192,BAO_0000357,single protein format,Cc1ccc2nc(-c3ccc(N(C)C)cc3)cn2c1,,,CHEMBL1145100,J Med Chem,2003,"{'bei': '26.32', 'le': '0.48', 'lle': '3.24', 'sei': '32.21'}",CHEMBL78621,,CHEMBL78621,6.62,0,http://www.openphacts.org/units/Nanomolar,144090,=,1,1,=,,Ki,nM,,242.0,CHEMBL2487,Homo sapiens,Beta amyloid A4 protein,9606,,,Ki,nM,UO_0000065,,242.0
,,88722,[],CHEMBL649398,Inhibition constant against [125I]-7 (TZDM) binding to Amyloid beta 1-40 aggregates,B,,,BAO_0000192,BAO_0000357,single protein format,CN(C)c1ccc(-c2cn3ccccc3n2)cc1,,,CHEMBL1145100,J Med Chem,2003,,CHEMBL312622,,CHEMBL312622,,0,http://www.openphacts.org/units/Nanomolar,144081,>,1,1,>,,Ki,nM,,2000.0,CHEMBL2487,Homo sapiens,Beta amyloid A4 protein,9606,,,Ki,nM,UO_0000065,,2000.0
,,93688,[],CHEMBL649398,Inhibition constant against [125I]-7 (TZDM) binding to Amyloid beta 1-40 aggregates,B,,,BAO_0000192,BAO_0000357,single protein format,CN(C)c1ccc(-c2nc3ccc(I)cn3c2I)cc1,,,CHEMBL1145100,J Med Chem,2003,,CHEMBL310444,,CHEMBL310444,,0,http://www.openphacts.org/units/Nanomolar,144084,>,1,1,>,,Ki,nM,,2000.0,CHEMBL2487,Homo sapiens,Beta amyloid A4 protein,9606,,,Ki,nM,UO_0000065,,2000.0
,,94614,[],CHEMBL649398,Inhibition constant against [125I]-7 (TZDM) binding to Amyloid beta 1-40 aggregates,B,,,BAO_0000192,BAO_0000357,single protein format,Cc1ccc2nc(-c3ccc(Br)cc3)cn2c1,,,CHEMBL1145100,J Med Chem,2003,"{'bei': '21.57', 'le': '0.50', 'lle': '2.13', 'sei': '35.81'}",CHEMBL78765,,CHEMBL78765,6.20,0,http://www.openphacts.org/units/Nanomolar,144088,=,1,1,=,,Ki,nM,,638.0,CHEMBL2487,Homo sapiens,Beta amyloid A4 protein,9606,,,Ki,nM,UO_0000065,,638.0
,,100600,[],CHEMBL649398,Inhibition constant against [125I]-7 (TZDM) binding to Amyloid beta 1-40 aggregates,B,,,BAO_0000192,BAO_0000357,single protein format,CN(C)c1ccc2nc(-c3ccc(Br)cc3)cn2c1,,,CHEMBL1145100,J Med Chem,2003,"{'bei': '20.46', 'le': '0.47', 'lle': '2.64', 'sei': '31.50'}",CHEMBL309920,,CHEMBL309920,6.47,0,http://www.openphacts.org/units/Nanomolar,144087,=,1,1,=,,Ki,nM,,339.0,CHEMBL2487,Homo sapiens,Beta amyloid A4 protein,9606,,,Ki,nM,UO_0000065,,339.0
,,104621,[],CHEMBL649398,Inhibition constant against [125I]-7 (TZDM) binding to Amyloid beta 1-40 aggregates,B,,,BAO_0000192,BAO_0000357,single protein format,CN(C)c1ccc(-c2cn3cc(I)ccc3n2)cc1,,,CHEMBL1145100,J Med Chem,2003,"{'bei': '21.54', 'le': '0.56', 'lle': '4.15', 'sei': '38.09'}",CHEMBL78012,,CHEMBL78012,7.82,1,http://www.openphacts.org/units/Nanomolar,144083,=,1,1,=,,Ki,nM,,15.0,CHEMBL2487,Homo sapiens,Beta amyloid A4 protein,9606,,,Ki,nM,UO_0000065,,15.0
