Model,Adjusted R-Squared,R-Squared,RMSE,Time Taken
QuantileRegressor,2.1289340928914955e+132,-2.946568201030983e+133,2.1619382886400497e+65,65.15439534187317
Lars,2.298199774689319e+30,-3.1808417171424635e+31,224623956990830.1,0.656914234161377
SGDRegressor,1.6185850800319206e+25,-2.2402155817833103e+26,596114864078.4208,0.13579559326171875
TransformedTargetRegressor,7.371286124011955e+17,-1.0202287316567271e+19,127213680.9614413,0.17284655570983887
LinearRegression,7.371286124011955e+17,-1.0202287316567271e+19,127213680.9614413,0.17267441749572754
MLPRegressor,9.936132419299204,-122.68125304972087,0.44293192364256045,0.9437618255615234
HuberRegressor,1.8152561162382859,-10.283617260979174,0.13378555280638826,0.5655727386474609
SVR,1.4439253946216644,-5.144184809618689,0.09872273520372242,0.13913798332214355
PassiveAggressiveRegressor,1.236684126638434,-2.2758455208652832,0.07208530677194919,0.17407822608947754
OrthogonalMatchingPursuit,1.2065611135102725,-1.858925556555222,0.06734207090798847,0.1446983814239502
LinearSVR,1.1977062179487665,-1.73636866871119,0.06588284559087361,1.5946393013000488
Ridge,1.1906164457698267,-1.638242111741806,0.06469077713607709,0.13073158264160156
KernelRidge,1.1879012727901914,-1.6006625436903295,0.06422839145528088,0.16770291328430176
BayesianRidge,1.1862466249784496,-1.5777612587597,0.06394497036577353,0.21979546546936035
RidgeCV,1.1778036935513079,-1.4609061933550573,0.062478784780829494,0.17835378646850586
BaggingRegressor,1.0961666931376501,-0.3310027818326926,0.04594883724233385,0.7721524238586426
OrthogonalMatchingPursuitCV,1.085487910661969,-0.1832022417707322,0.043322602324492386,0.32601475715637207
TweedieRegressor,1.0813133102411763,-0.12542335188874332,0.042251584993707604,0.1684861183166504
GaussianProcessRegressor,1.0797019266509131,-0.10312086886408767,0.04183084085657503,0.4251561164855957
KNeighborsRegressor,1.073987824452018,-0.02403438190836371,0.04030345833287377,0.21995186805725098
LassoLars,1.0724269044309387,-0.002430343935454937,0.03987605133905759,0.15971708297729492
LassoLarsCV,1.0724269044309387,-0.002430343935454937,0.03987605133905759,4.333294630050659
Lasso,1.0724269044309387,-0.002430343935454937,0.03987605133905759,0.13872623443603516
ElasticNet,1.0724269044309387,-0.002430343935454937,0.03987605133905759,0.12619376182556152
DummyRegressor,1.0724269044309387,-0.002430343935454937,0.03987605133905759,0.11000347137451172
LassoCV,1.069620097970831,0.036417484606614425,0.03909574557185847,37.77529549598694
ElasticNetCV,1.067575845917701,0.06471111809558894,0.03851748571138496,38.856942892074585
LarsCV,1.0633974684012701,0.12254228517082488,0.03730767137518304,7.146803140640259
PoissonRegressor,1.0562167338154111,0.2219278145838015,0.03513136218296362,0.15632295608520508
NuSVR,1.0545062839782227,0.24560143189561245,0.03459278056330012,0.2202908992767334
LGBMRegressor,1.0472178783134556,0.3464771914586947,0.03219700084379243,0.3817281723022461
HistGradientBoostingRegressor,1.0464613134177811,0.35694848820317293,0.031938015405250306,7.505566835403442
RandomForestRegressor,1.0423974898988853,0.4131941615444148,0.03050930098211194,6.441915273666382
GradientBoostingRegressor,1.0342165569073727,0.5264230167167993,0.027408188822381472,1.7764146327972412
ExtraTreesRegressor,1.0303485466164122,0.5799585214684995,0.025812563269268285,6.937165021896362
AdaBoostRegressor,1.0301283340871128,0.583006390533439,0.025718743309947285,1.272392988204956
XGBRegressor,1.0191070435350402,0.7355474409280666,0.02048136660358063,0.6082234382629395
ExtraTreeRegressor,1.0144654999320535,0.799789095143319,0.01782087026070287,0.18442749977111816
DecisionTreeRegressor,1.0142622299446384,0.8026024696068154,0.017695217362289635,0.2040083408355713
