Model,Adjusted R-Squared,R-Squared,RMSE,Time Taken
QuantileRegressor,1.0175878250231544e+104,-3.509940613847982e+104,7.461650937466758e+50,82.76325678825378
Lars,4.420018292118974e+23,-1.5245860196004575e+24,49176884420.333244,0.08734345436096191
TransformedTargetRegressor,1.4983151755820976e+23,-5.1681016201237564e+23,28631926237.343563,0.07795310020446777
LinearRegression,1.4983151755820976e+23,-5.1681016201237564e+23,28631926237.343563,0.06375408172607422
MLPRegressor,4.964928523001066,-12.676130267742806,0.14728776046066663,0.24602007865905762
PassiveAggressiveRegressor,3.244570591214988,-6.742142039263291,0.11081935334073109,0.07874393463134766
SVR,2.697031013676286,-4.85352726456458,0.09635935116619605,0.06311178207397461
GaussianProcessRegressor,1.4213479955816215,-0.4533452601221144,0.048014171959988264,0.12515854835510254
KernelRidge,1.4177923990934063,-0.4410810287569664,0.0478111560337157,0.056047677993774414
OrthogonalMatchingPursuit,1.4057459430862518,-0.3995294848482307,0.047116830745259214,0.060732364654541016
Ridge,1.3967367935900974,-0.3684544474556981,0.04659080528338861,0.06361603736877441
HuberRegressor,1.3877444197747153,-0.3374372740055396,0.04605976900488735,0.16338014602661133
LinearSVR,1.3868532367421862,-0.33436333832811993,0.046006807188499435,0.16493630409240723
RidgeCV,1.3466086641078094,-0.19554872547331392,0.0435480471685556,0.06373476982116699
NuSVR,1.3013660286308246,-0.039494417596178,0.040606553016312746,0.19060611724853516
DecisionTreeRegressor,1.3005759049369474,-0.03676906340570296,0.040553286798696714,0.07326650619506836
ExtraTreeRegressor,1.2966902550996267,-0.023366387155234092,0.04029031087849788,0.047749996185302734
AdaBoostRegressor,1.2949677293195212,-0.017424921420956974,0.040173181778744044,0.08065009117126465
ExtraTreesRegressor,1.2934103358194067,-0.01205304239157634,0.0400669866781007,0.6863882541656494
LassoLars,1.2906205618972537,-0.002430343935454937,0.03987605133905759,0.06439971923828125
ElasticNet,1.2906205618972537,-0.002430343935454937,0.03987605133905759,0.039572715759277344
Lasso,1.2906205618972537,-0.002430343935454937,0.03987605133905759,0.06905722618103027
DummyRegressor,1.2906205618972537,-0.002430343935454937,0.03987605133905759,0.05595850944519043
XGBRegressor,1.2904621760090271,-0.0018840273934557228,0.03986518379321136,0.30861449241638184
PoissonRegressor,1.28777919792082,0.007370302823838659,0.03968064074377489,0.05579090118408203
LassoLarsCV,1.282388824023667,0.02596318670097475,0.03930725623617824,0.2052295207977295
ElasticNetCV,1.2822080764103119,0.02658663499051883,0.03929467459451863,1.4767706394195557
BaggingRegressor,1.2821684716597122,0.02672324268099291,0.039291917213490395,0.11937689781188965
LassoCV,1.2821312276668495,0.026851707467968278,0.03928932401771674,1.4693171977996826
SGDRegressor,1.2805736432750754,0.032224244935247004,0.039180720061796,0.05438518524169922
OrthogonalMatchingPursuitCV,1.2754836554421667,0.04978101456180206,0.03882369763324845,0.10333895683288574
BayesianRidge,1.2747891817921793,0.052176445412482786,0.03877473093733421,0.07705426216125488
GradientBoostingRegressor,1.2677464413216024,0.0764687966008496,0.0382746150132988,0.30280137062072754
KNeighborsRegressor,1.2649362305627763,0.08616198733419211,0.038073223994977895,0.16093659400939941
HistGradientBoostingRegressor,1.2542085072109208,0.12316485918551967,0.0372944337525686,2.172478675842285
LGBMRegressor,1.2542085065740731,0.12316486138218241,0.03729443370585326,0.11106252670288086
LarsCV,1.2474303727322371,0.14654451144532676,0.03679387106024515,0.5090677738189697
RandomForestRegressor,1.2472054898920661,0.1473201942853375,0.036777146777241525,0.7599945068359375
TweedieRegressor,1.2302615718384105,0.20576443336896122,0.03549438942955038,0.05571770668029785
