BindingDB Reactant_set_id,Ligand SMILES,BindingDB MonomerID,BindingDB Ligand Name,Target Name,Ki (nM)
50183297,O=C(O)c1cc(/C=C/c2ccc(/C=C/c3ccc(O)c(C(=O)O)c3)c(Br)c2)ccc1O,50101410,"(trans,trans)-1-bromo-2,5-bis-(3-hydroxycarbonyl-4-hydroxy)styrylbenzene::5-[2-bromo-4-(3-carboxy-4-hydroxyphenethyl)phenethyl]-2-hydroxybenzoic acid::CHEMBL74704",Amyloid-beta precursor protein,0.11
50183299,O=C(O)c1cc(/C=C\c2ccc(/C=C\c3ccc(O)c(C(=O)O)c3)c(Br)c2)ccc1O,50101411,5-[2-bromo-4-(3-carboxy-4-hydroxyphenethyl)phenethyl]-2-hydroxybenzoic acid::CHEMBL76112,Amyloid-beta precursor protein,0.13
50183298,O=C(O)c1cc(N=Nc2ccc(-c3ccc(N=Nc4ccc(O)c(C(=O)O)c4)cc3)cc2)ccc1O,50100131,5-(Biphenyl-4-ylazo)-bis (2-hydroxy-benzoic acid)(Chrysamine G)::Bis(2-Hydroxy-5-phenylazo-benzoic acid)::CHEMBL300172::chrysamine -G::chrysamine G,Amyloid-beta precursor protein,0.14
50180603,COc1ccc(/C=C/c2ccc(/C=C/c3ccc(OC)c(C(=O)O)c3)c(I)c2)cc1C(=O)O,50100135,"(E,E)-1-iodo-2,5-bis-(3-hydroxycarbonyl-4-methoxy)styrylbenzene::5-[2-{4-[2-(3-carboxy-4-methoxyphenyl)-(E)-1-ethenyl]-2-iodophenyl}-(E)-1-ethenyl]-2-methoxybenzoic acid::CHEMBL292910",Amyloid-beta precursor protein,0.17
50183301,O=C(O)c1cc(/C=C\c2ccc(/C=C/c3ccc(O)c(C(=O)O)c3)cc2Br)ccc1O,50101413,5-[2-bromo-4-(3-carboxy-4-hydroxyphenethyl)phenethyl]-2-hydroxybenzoic acid::CHEMBL305634,Amyloid-beta precursor protein,0.19
51177579,CNc1ccc(-c2nc3ccc(F)cc3s2)cc1,50483880,CHEMBL1774642,Amyloid-beta precursor protein,0.2
50840922,COc1cc(C=CC(=O)CC(=O)C=Cc2ccc(O)c(OC)c2)ccc1O,50067040,"((E,E)-1,7-bis(4-hydroxy-3-methoxyphenyl)-1,6-heptadiene-3,5-dione)::(1E,4Z,6E)-5-Hydroxy-1,7-bis-(4-hydroxy-3-methoxy-phenyl)-hepta-1,4,6-trien-3-one::(1E,4Z,6E)-5-hydroxy-1,7-bis(4-hydroxy-3-methoxyphenyl)hepta-1,4,6-trien-3-one::(1E,6E)-1,7-Bis-(4-hydroxy-3-methoxy-phenyl)-hepta-1,6-diene-3,5-dione::(1E,6E)-1,7-bis(4-hydroxy-3-methoxyphenyl)-1,6-heptadiene-3,5-dione::(1E,6E)-1,7-bis(4-hydroxy-3-methoxyphenyl)hepta-1,6-diene-3,5-dione::(1Z,6E)-1,7-Bis-(4-hydroxy-3-methoxy-phenyl)-hepta-1,6-diene-3,5-dione::(E,E)-1,7-Bis(4-hydroxy-3-methoxyphenyl)-1,6-heptadiene-3,5-dione::1,7-Bis-(4-hydroxy-3-methoxy-phenyl)-hepta-1,6-diene-3,5-dione::1,7-bis(4-hydroxy-3-methoxyphenyl)-1,6-heptadien-3,5-dione::1,7-bis(4-hydroxy-3-methoxyphenyl)-1,6-heptadiene-3,5-dione::1,7-bis(4-hydroxy-3-methoxyphenyl)1,6-heptadiene-3,5-dione::1,7-bis(4-hydroxy-3-methoxyphenyl)hepta-1,6-diene-3,5-dione::1,7-bis-(4-hydroxy-3-methoxyphenyl)-1,6-heptadiene-3,5-dione::5-Hydroxy-1,7-bis-(4-hydroxy-3-methoxy-phenyl)-hepta-1,4,6-trien-3-one::5-hydroxy-1,7-bis(4-hydroxy-3-methoxyphenyl)-1,4,6-heptatrien-3-one::CHEMBL116438::cid_5281767::curcumin I::curcumine::curcurmin::diferuloylmethane",Amyloid-beta precursor protein,0.208
50183300,O=C(O)c1cc(/C=C\c2ccc(/C=C/c3ccc(O)c(C(=O)O)c3)c(Br)c2)ccc1O,50101412,5-[2-bromo-4-(3-carboxy-4-hydroxyphenethyl)phenethyl]-2-hydroxybenzoic acid::CHEMBL74348,Amyloid-beta precursor protein,0.27
51177582,CN(C)c1ccc(-c2nc3ccc(F)cc3s2)cc1,50483881,CHEMBL1774643,Amyloid-beta precursor protein,0.3
51180265,CNc1ccc(-c2nc3ccc(O)cc3s2)cc1F,50481120,Flutemetamol::[3H]-Flutemetamol,Amyloid-beta precursor protein,0.7
50344541,CNc1ccc(-c2cc3cc(O)ccc3o2)cc1,50185948,5-hydroxy-2-(4-methylaminophenyl)benzofuran::CHEMBL204829,Amyloid-beta precursor protein,0.7
